,Unnamed: 0,uid,file,zero_pred,one_pred,pred,label,temporal_frame_start_times,acc,cfnmtx
28247,344,0_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.39006686,-0.45742035,0,0,2.972154195011338,1,TN
28329,345,1_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.41478473,-0.50610787,0,0,2.995374149659864,1,TN
28411,346,2_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.4254763,-0.529359,0,0,3.01859410430839,1,TN
28493,347,3_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.45371282,-0.5762997,0,0,3.0418140589569163,1,TN
28575,348,4_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.4679795,-0.5999776,0,0,3.0650340136054424,1,TN
28657,349,5_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.47118944,-0.6045903,0,0,3.0882539682539685,1,TN
28739,350,6_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.47152486,-0.6051192,0,0,3.111473922902494,1,TN
28821,351,7_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.47085595,-0.60437363,0,0,3.13469387755102,1,TN
28903,352,8_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.46932638,-0.6023055,0,0,3.1579138321995464,1,TN
28985,353,9_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.46806565,-0.6006419,0,0,3.1811337868480725,1,TN
29067,354,10_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.47254145,-0.6075898,0,0,3.2043537414965986,1,TN
29149,355,11_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.47656834,-0.61402833,0,0,3.2275736961451247,1,TN
29231,356,12_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.47956645,-0.61895263,0,0,3.250793650793651,1,TN
29313,357,13_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.48234397,-0.62349516,0,0,3.274013605442177,1,TN
29395,358,14_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.48430938,-0.6267283,0,0,3.297233560090703,1,TN
29477,359,15_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.48489693,-0.6276505,0,0,3.320453514739229,1,TN
29559,360,16_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.48492396,-0.6275825,0,0,3.3436734693877552,1,TN
29641,361,17_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.48443526,-0.62654716,0,0,3.3668934240362813,1,TN
29723,362,18_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.4832989,-0.62456113,0,0,3.3901133786848074,1,TN
29805,363,19_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.48144692,-0.6214264,0,0,3.4133333333333336,1,TN
29887,364,20_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.47818166,-0.61621207,0,0,3.436553287981859,1,TN
29969,365,21_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.47405607,-0.6097582,0,0,3.4597732426303853,1,TN
30051,366,22_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.47000694,-0.6034587,0,0,3.4829931972789114,1,TN
30133,367,23_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.46678647,-0.5986497,0,0,3.506213151927437,1,TN
30215,368,24_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.46426868,-0.59507316,0,0,3.529433106575964,1,TN
30297,369,25_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.46547782,-0.5965893,0,0,3.5526530612244898,1,TN
30379,370,26_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.46814004,-0.6007001,0,0,3.575873015873016,1,TN
30461,371,27_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.4728166,-0.6078886,0,0,3.599092970521542,1,TN
30543,372,28_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.47706276,-0.6146889,0,0,3.622312925170068,1,TN
30625,373,29_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.47940564,-0.6184475,0,0,3.645532879818594,1,TN
30707,374,30_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.48079705,-0.6207735,0,0,3.66875283446712,1,TN
30789,375,31_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.48104224,-0.62115055,0,0,3.6919727891156464,1,TN
30871,376,32_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.48115337,-0.6212638,0,0,3.715192743764173,1,TN
30953,377,33_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.48152542,-0.6217138,0,0,3.738412698412698,1,TN
31035,378,34_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.48160964,-0.62178737,0,0,3.761632653061224,1,TN
31117,379,35_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.48151538,-0.62149733,0,0,3.7848526077097504,1,TN
31199,380,36_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.4809532,-0.6205195,0,0,3.808072562358277,1,TN
31281,381,37_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.47999516,-0.6190079,0,0,3.831292517006802,1,TN
31363,382,38_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.47886333,-0.61723346,0,0,3.8545124716553287,1,TN
31445,383,39_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.47740588,-0.61491513,0,0,3.877732426303855,1,TN
31527,384,40_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.47578055,-0.61235064,0,0,3.900952380952381,1,TN
31609,385,41_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.47425693,-0.60996896,0,0,3.924172335600907,1,TN
31691,386,42_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.47227773,-0.6069637,0,0,3.947392290249433,1,TN
31773,387,43_Drymophila-striaticeps-297002.wav,Drymophila-striaticeps-297002.wav,0.46927756,-0.6023429,0,0,3.9706122448979593,1,TN
